City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Tomohon,ID,1.3346,124.8392,77.94,79,98,1.59,overcast clouds
127,Hithadhoo,MV,-0.6,73.0833,76.77,87,100,9.78,moderate rain
128,Esperance,AU,-33.8667,121.9,60.49,70,99,5.39,overcast clouds
129,Robertsport,LR,6.7533,-11.3686,75.9,83,100,6.13,light rain
130,Pierre,US,44.3683,-100.351,73.06,78,0,5.01,clear sky
131,Qui Nhon,VN,13.7667,109.2333,87.49,63,40,11.5,scattered clouds
132,Ixtapa,MX,20.7,-105.2,75.22,100,100,4.61,overcast clouds
133,Kasama,ZM,-10.2129,31.1808,52.36,86,25,3.51,scattered clouds
134,Jamestown,US,42.097,-79.2353,64.71,69,20,1.01,few clouds
135,Mogadishu,SO,2.0371,45.3438,75.07,78,75,18.41,broken clouds
136,Uarini,BR,-2.99,-65.1083,72.93,91,11,1.72,few clouds
137,Kieta,PG,-6.2167,155.6333,83.46,73,39,5.55,light rain
138,Lovozero,RU,68.005,35.0117,61.84,89,100,10.38,overcast clouds
139,Jati,PK,24.3539,68.2671,83.57,76,90,13.18,overcast clouds
140,Klaksvik,FO,62.2266,-6.589,50.92,94,100,9.06,light rain
141,Embu-Guacu,BR,-23.8534,-46.8396,64.53,91,67,1.95,broken clouds
142,Hofn,IS,64.2539,-15.2082,51.44,85,100,4.9,light rain
143,Avarua,CK,-21.2078,-159.775,73.45,64,40,13.8,scattered clouds
144,Sitka,US,57.0531,-135.33,60.69,82,75,14.97,broken clouds
145,Nan,TH,18.8333,100.6667,87.82,66,20,3.44,few clouds
146,Antu,IN,26.05,81.9167,93.72,51,98,7.29,very heavy rain
147,Jian,CN,27.1172,114.9793,100.96,37,90,4.72,overcast clouds
148,Escarcega,MX,18.6089,-90.7454,72.03,98,100,3.42,overcast clouds
149,Sabha,LY,27.0377,14.4283,76.96,20,0,8.88,clear sky
150,Baracoa,CU,20.3467,-74.4958,80.2,85,40,9.17,scattered clouds
151,Bac Lieu,VN,9.285,105.7244,83.75,72,100,10.65,overcast clouds
152,Port Elizabeth,ZA,-33.918,25.5701,59.31,81,0,24.16,clear sky
153,Provideniya,RU,64.3833,-173.3,48.36,71,0,17.9,clear sky
154,Kavieng,PG,-2.5744,150.7967,84.99,64,66,12.97,broken clouds
