City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Kapaa,US,2022-07-27 00:55:09,22.0752,-159.319,85.98,73,21,4.0
96,Provideniya,RU,2022-07-27 00:55:09,64.3833,-173.3,50.36,66,0,15.99
97,Villarrica,PY,2022-07-27 00:55:10,-25.75,-56.4333,69.35,64,1,5.3
98,Garlasco,IT,2022-07-27 00:55:10,45.1974,8.9238,74.44,88,96,6.29
99,Saint-Augustin,CA,2022-07-27 00:55:10,51.226,-58.6502,60.93,76,2,17.11
100,Ozernovskiy,RU,2022-07-27 00:55:11,51.5,156.5167,52.47,87,100,4.54
101,Fort Nelson,CA,2022-07-27 00:55:11,58.8053,-122.7002,85.59,39,75,3.44
102,Teya,RU,2022-07-27 00:55:11,60.3778,92.6267,56.25,95,100,7.9
103,Dawlatabad,AF,2022-07-27 00:55:12,36.4141,64.9053,83.34,29,0,7.65
104,Kirakira,SB,2022-07-27 00:55:12,-10.4544,161.9205,83.28,75,96,5.97
105,Kattivakkam,IN,2022-07-27 00:55:13,13.2167,80.3167,82.08,85,22,6.29
106,Mitsamiouli,KM,2022-07-27 00:55:13,-11.3847,43.2844,75.65,70,1,5.21
107,New Norfolk,AU,2022-07-27 00:55:13,-42.7826,147.0587,53.1,75,88,5.01
108,Bereda,ES,2022-07-27 00:55:14,43.2686,-7.5406,60.15,96,82,5.84
109,Zeerust,ZA,2022-07-27 00:55:14,-25.5369,26.0751,51.71,67,0,4.03
110,Salalah,OM,2022-07-27 00:55:14,17.0151,54.0924,74.86,96,100,7.2
111,Mildura,AU,2022-07-27 00:55:15,-34.2,142.15,53.08,75,100,12.62
112,Atuona,PF,2022-07-27 00:55:15,-9.8,-139.0333,77.22,76,20,16.06
113,Arraial Do Cabo,BR,2022-07-27 00:54:42,-22.9661,-42.0278,69.76,83,40,5.75
114,Alice Springs,AU,2022-07-27 00:55:16,-23.7,133.8833,51.35,46,0,13.8
115,Port Hedland,AU,2022-07-27 00:55:16,-20.3167,118.5667,75.25,31,0,11.5
116,Dhidhdhoo,MV,2022-07-27 00:55:16,6.8833,73.1,81.41,77,87,14.79
117,Saldanha,ZA,2022-07-27 00:55:17,-33.0117,17.9442,53.65,90,1,6.35
118,Dunyapur,PK,2022-07-27 00:55:17,29.7995,71.7196,88.93,65,14,4.74
119,Joshimath,IN,2022-07-27 00:55:17,30.5667,79.5667,71.11,92,95,1.32
120,Grand-Santi,GF,2022-07-27 00:55:18,4.25,-54.3833,73.98,97,68,2.35
121,Tamandare,BR,2022-07-27 00:55:18,-8.7597,-35.1047,73.44,87,100,9.51
122,Ust-Ilimsk,RU,2022-07-27 00:55:19,58.0006,102.6619,61.66,74,53,9.84
123,Woodstock,CA,2022-07-27 00:52:51,43.1334,-80.7497,73.62,75,2,6.13
124,Petropavlovsk-Kamchatskiy,RU,2022-07-27 00:55:19,53.0452,158.6483,66.79,64,75,6.71
125,Mahebourg,MU,2022-07-27 00:55:20,-20.4081,57.7,67.24,94,75,3.44
126,Tessalit,ML,2022-07-27 00:55:20,20.1986,1.0114,94.42,10,5,3.91
127,Berdigestyakh,RU,2022-07-27 00:55:20,62.0989,126.6992,77.88,46,6,6.11
128,Porbandar,IN,2022-07-27 00:55:21,21.6422,69.6093,81.19,83,84,10.31
129,Ornskoldsvik,SE,2022-07-27 00:55:21,63.2909,18.7153,56.35,100,40,4.61
130,Ifanadiana,MG,2022-07-27 00:55:21,-21.3,47.6333,58.33,94,53,1.01
